gm_on.mid		mcReset
pop01.mid		mcTown1
morning_breeze.mid	mcTown2
happymarch.mid		mcTown3
xp_field7.mid		mcTown4
pop03.mid		mcDungeon1
PSML522.MID		mcDungeon2
PSML514.MID		mcDungeon3
PSML507.MID		mcDungeon4
fantasy04.mid		mcDungeon5
fantasy03.mid		mcDungeon6
dwarf.mid		mcPuti
battle1.mid		mcBoss
climax.mid		mcBoss2
orc05.mid		mcVictory
orc01.mid		mcOpening
orc03.mid		mcLastBoss
PSML516.MID		mcHome
PSML060.MID		mcLonely
fantasy01.MID		mcChaos
orc06.MID		mcMarch1
orc02.MID		mcMarch2
orc04.mid		mcMarch3
victory.mid		mcArena
fanfare.mid		mcFanfare
cobalt.mid		mcVillage1
battle3.mid		mcBattle1
town2l.mid		mcCasino
epi1coda.mid		mcCoda
ruins1.mid		mcRuin
PSML052.mid		mcWedding
main2.mid		mcPetArena
PSML514.MID		mcUnrest
PSML047.MID		mcTown5
xp_shrine2.mid		mcUnrest2
morning_breeze.mid	mcTown6
orc04.mid		mcField1
xp_field2.mid		mcField2
xp_field4.mid		mcField3
memory.mid		mcMemory
field1_d.mid		mcIntro
overwish.mid		mcOverwish
fairyzort_01.mid	mcFairyzort1
nc_race.mid		mcNcrace
nc_voidtown.mid		mcNcVoidTown
nc_secret.mid		mcNcSecretZone
